Make,Engine Cylinders,Engine Displacement,Combined MPG (FT1),Annual Fuel Cost (FT1),Tailpipe CO2 in Grams/Mile (FT1)
AM General,5,3.35,14.83333333,2400,608.6355109
ASC Incorporated,6,3.8,16,2650,555.4375
Acura,5.231788079,2.834768212,21.45033113,1937.251656,423.3041811
Alfa Romeo,5.224489796,2.5,20.06122449,1989.795918,453.1248504
American Motors Corporation,5.407407407,3.696296296,17.88888889,1966.666667,499.8726212
Aston Martin,9.887323944,5.322535211,13.25352113,3186.971831,696.4177257
Audi,5.775804661,2.844839068,20.11986681,2091.287458,452.5080906
Aurora Cars Ltd,8,4.9,15,2350,592.4666667
Autokraft Limited,8,4.925,16.5,2350,539.101103
Avanti Motor Corporation,8,5,16.5,2125,539.101103
Azure Dynamics,,,62,1050,0
BMW,6.404454865,3.224267292,20.38901869,2120.706776,455.5080202
BMW Alpina,8,4.533333333,15.66666667,2700,567.7805556
BYD,,,65,1012.5,0
Bentley,9.572649573,6.090598291,13.25641026,3250.42735,686.0377158
Bertone,4,1.5,22,1600,403.9545455
Bill Dovell Motor Car Company,4,2.3,17.5,2000,508.2434641
Bitter Gmbh and Co. Kg,6,3.36,14.8,2570,604.3485531
Bugatti,16,8,10,4250,873.0625
Buick,5.6,3.304126984,20.73174603,1751.984127,439.2658552
CCC Engineering,8,5.7,15,2350,592.4666667
CODA Automotive,,,73,900,0
CX Automotive,5.058823529,2.764705882,16.23529412,2567.647059,550.7574342
Cadillac,6.931818182,4.244886364,18.37310606,2094.602273,496.9300229
Chevrolet,6.317560463,4.09371714,18.67716535,2032.716535,510.3573068
Chrysler,5.264788732,3.024788732,20.14084507,1833.591549,446.0108772
Consulier Industries Inc,4,2.2,21,1650,423.1904762
Dabryan Coach Builders Inc,8,4.966666667,16.33333333,2150,545.9986928
Dacia,4,1.4,23,1500,386.3913043
Daewoo,4.029850746,1.855223881,23.07462687,1522.38806,387.7574964
Daihatsu,3.705882353,1.264705882,29.64705882,1229.411765,310.1880602
Dodge,6.16284585,3.877786561,17.37692612,2207.88226,549.196942
"E. P. Dutton, Inc.",8,4.1,17,2050,522.7647059
Eagle,4.248447205,2.131055901,21.95652174,1703.416149,411.5820813
Environmental Rsch and Devp Corp,6,2.9,16,2650,555.4375
Evans Automobiles,8,5.7,19,1850,467.7368421
Excalibur Autos,8,5,14,3000,634.7857143
Federal Coach,8,5.228571429,15.35714286,2296.428571,580.3088311
Ferrari,9.876777251,4.751658768,12.79620853,3331.279621,711.0382205
Fiat,4,1.486956522,37.1372549,1363.72549,280.1146791
Fisker,4,2,20,2100,169
Ford,6.063673989,3.72107609,18.79302694,2030.966719,510.8225094
GMC,6.868948247,4.705926544,16.18890742,2251.918265,570.3139483
General Motors,8,5,18,1950,493.7222222
Genesis,6.857142857,4.171428571,19.42857143,2085.714286,464.1428571
Geo,3.74829932,1.454421769,27.65306122,1336.054422,338.8349969
Goldacre,6,2.5,18,2350,493.7222222
Grumman Allied Industries,4,2.5,17,2050,522.7647059
Grumman Olson,4,1.6,28.75,1362.5,356.337423
Honda,4.359600444,2.138734739,26.68066298,1417.458564,354.2171309
Hummer,5.789473684,4.1,15.15789474,2326.315789,588.0120301
Hyundai,4.657698057,2.35426009,24.00298507,1532.238806,384.3746919
Import Foreign Auto Sales Inc,4,1,19,1850,467.7368421
Import Trade Services,5.076923077,2.469230769,15.53846154,2580.769231,573.2699041
Infiniti,6.270718232,3.719337017,19.87845304,2110.082873,460.1484052
Isis Imports Ltd,8,3.9,20,2100,444.35
Isuzu,4.822580645,2.71797235,19.15668203,1923.387097,487.776769
J.K. Motors,6.777777778,3.361111111,14.30555556,2525,629.2435975
"JBA Motorcars, Inc.",6,3,15,2350,592.4666667
Jaguar,7.447887324,4.016619718,18.37183099,2329.43662,494.977295
Jeep,5.349001175,3.378848414,18.4559342,1982.726204,499.8047773
Kenyon Corporation Of America,8,5,14,2500,634.7857143
Kia,4.533864542,2.343227092,24.2,1527.425743,386.902765
Laforza Automobile Inc,8,4.9,11,3200,807.9090909
Lambda Control Systems,6,3,17,2050,522.7647059
Lamborghini,11.10091743,5.675229358,12.27522936,3588.073394,756.8247519
Land Rover,7.210526316,3.916447368,15.55263158,2721.710526,595.3421978
Lexus,6.513064133,3.599524941,21.03800475,2022.209026,440.7112687
Lincoln,6.6,3.862068966,18.96896552,2012.931034,487.7591481
London Coach Co Inc,4,2.3,16,2200,555.4375
London Taxi,4,2.4,22,1750,462.7272727
Lotus,5.228070175,2.7,19.98245614,2096.491228,453.5237375
MINI,3.981595092,1.63404908,28.37920489,1499.541284,315.9698222
Mahindra,4,2.2,20,1950,509
Maserati,7.026086957,3.590434783,14.54782609,2886.956522,628.7439623
Maybach,12,5.677419355,12.19354839,3451.612903,729.5572787
Mazda,4.511482255,2.377997914,21.98540146,1711.05318,420.2848636
McLaren Automotive,8,3.8,18.07692308,2350,489.2094017
Mcevoy Motors,4,2.3,19.66666667,1783.333333,452.145614
Mercedes-Benz,6.978438662,4.028847584,18.84062268,2334.988881,498.9493209
Mercury,5.454844007,3.002463054,21.22167488,1722.003284,436.5267807
Merkur,4.571428571,2.471428571,18.14285714,1935.714286,491.4730675
Mitsubishi,4.587890625,2.441853659,21.74538387,1788.241011,429.1544754
Mobility Ventures LLC,8,4.6,14,2375,547.5
Morgan,8,3.966666667,17,2500,522.7647059
Nissan,5.242290749,2.95154185,21.36005831,1844.059767,449.2089108
Oldsmobile,5.601731602,3.248701299,20.59090909,1759.199134,442.9544617
PAS Inc - GMC,6,4.3,15,2800,592.4666667
"PAS, Inc",6,4.3,14,3000,634.7857143
Pagani,12,6,13,3250,671
Panos,8,4.9,15,2350,592.4666667
Panoz Auto-Development,8,5,22,1600,403.9545455
Panther Car Company Limited,4,2.3,20.25,1725,439.0601191
Peugeot,4.12244898,2.166326531,19.7244898,1925.510204,467.8403832
Pininfarina,4,2,20.5,1725,435.8456938
Plymouth,4.396190476,2.369904762,22.03992395,1688.022814,414.2156646
Pontiac,5.281075028,2.992833147,22.10526316,1692.385218,416.7714122
Porsche,6.120317821,3.59523269,19.44948922,2197.729852,464.5883766
Quantum Technologies,4,2.2,21,1650,423.1904762
Qvale,8,4.6,21,1650,423.1904762
Ram,6.734693878,4.385714286,18.65306122,2000,485.9459184
Red Shift Ltd.,4,2,23,1850,386.3913043
Renault,4,1.771428571,24.85714286,1449.107143,368.0589695
Rolls-Royce,9.595375723,6.705780347,11.75144509,3535.549133,786.7633275
Roush Performance,8,5.087272727,14.74545455,2949.090909,618.3727627
Ruf Automobile Gmbh,6,3.4,13,3250,683.6153846
S and S Coach Company  E.p. Dutton,8,6,10,3500,888.7
SRT,10,8.4,15,2800,607
Saab,4.384259259,2.298148148,20.16435185,1856.365741,444.3323448
Saleen,8,5.26,15,2360,596.9427198
Saleen Performance,8,5.16,13.6,3100,654.3175824
Saturn,4.431654676,2.329496403,24.06115108,1501.079137,376.3152736
Scion,4,2.042168675,28.19047619,1326.190476,329.3041721
Shelby,8,4.6,17,2500,522.7647059
Spyker,8,4.2,15.30769231,2373.076923,581.7432881
Sterling,6,2.633333333,18.16666667,1933.333333,489.6460842
Subaru,4.118705036,2.195683453,22.3923445,1658.492823,402.7408312
Superior Coaches Div E.p. Dutton,8,6,10,3500,888.7
Suzuki,4.306796117,1.96407767,23.35145631,1545.436893,393.2391901
TVR Engineering Ltd,6,2.8,18,2350,493.7222222
"Tecstar, LP",8,5.4,13,3250,683.6153846
Tesla,,,94.45238095,698.8095238,0
Texas Coach Company,8,5,12,2900,740.5833333
Toyota,4.957512953,2.74,22.08002065,1730.872483,432.6489719
VPG,8,4.6,14.2,2370,571.3258974
Vector,10,5.85,8.5,5000,1049.159722
Vixen Motor Company,6,2.4,16,2400,636.25
Volga Associated Automobile,4,1.6,19,1850,467.7368421
Volkswagen,4.583880037,2.210777882,23.91300281,1662.675398,394.9066338
Volvo,4.919631094,2.493675889,20.59156785,1885.968379,436.7011676
Wallace Environmental,7.8125,4.315625,13.875,3128.125,657.9900292
Yugo,4,1.2,25,1400,356.068256
smart,3,0.972727273,56.65625,1026.5625,170.1753472
